,AUC ROC,Algorithm,Avg. Precision,Fold,Time
2,0.5026954396301461,Original inf. + Topics,0.45022289006626703,0,852.4216164569793
3,0.4699977421107666,Original information,0.4441906223833009,0,920.1534228019593
8,0.5391714700312092,Original inf. + Topics,0.40418072355240064,1,761.115460057521
9,0.5394434932404685,Original information,0.404383336486402,1,888.1369640325017
14,0.5286027470919531,Original inf. + Topics,0.3916166769246733,2,982.4719289459788
15,0.5286657408963124,Original information,0.3914978576463896,2,1181.052626203591
20,0.5638122168513687,Original inf. + Topics,0.4251688066526095,3,926.6460035568646
21,0.5638446894789177,Original information,0.42515435240361293,3,763.6228042553967
26,0.5640115527446694,Original inf. + Topics,0.4106486990422073,4,1088.2860037932792
27,0.5641210271057643,Original information,0.4107441614438192,4,1016.8665297500762
32,0.5310263579342324,Original inf. + Topics,0.3837633905229015,5,949.3277534724054
33,0.5309771849356828,Original information,0.3838627741506119,5,1150.5702461408807
38,0.5259346139570541,Original inf. + Topics,0.36750988883994895,6,947.2963124466712
39,0.5261443582868219,Original information,0.3673703278272703,6,878.2226749294846
44,0.5573388446980956,Original inf. + Topics,0.3994611704547552,7,997.3017341463913
45,0.5574761228257108,Original information,0.3993458230084176,7,1012.546824814009
50,0.5479334878173976,Original inf. + Topics,0.38142411843260937,8,871.7229105924346
51,0.5482101510579962,Original information,0.3813544067041385,8,881.268101873989
56,0.5309715290880925,Original inf. + Topics,0.3719797487464166,9,1122.5045774632931
57,0.5310342637753842,Original information,0.3716832675888974,9,839.3301742368166
0,0.4859762647601451,"node2vec [dim=13, p=0.5, q=0.5, t=5",0.4261721240284436,0,487.250256288
1,0.5135005904121349,"node2vec [dim=13, p=0.5, q=0.5, t=5 + topics",0.4427123649631612,0,533.9293110849976
2,0.500901521938617,"node2vec [dim=13, p=0.5, q=1.0, t=5",0.4323208141291406,0,516.2076996609976
3,0.4905648657053505,"node2vec [dim=13, p=0.5, q=1.0, t=5 + topics",0.4291509621872308,0,542.2295998440021
4,0.4990532958943891,"node2vec [dim=13, p=0.5, q=2.0, t=5",0.4304060940190333,0,525.7797613809962
5,0.4978749199581441,"node2vec [dim=13, p=0.5, q=2.0, t=5 + topics",0.429431366426436,0,543.9962250300014
6,0.4846226557753101,"node2vec [dim=13, p=1.0, q=0.5, t=5",0.4265387045743318,0,522.2164389440004
7,0.4855541755100946,"node2vec [dim=13, p=1.0, q=0.5, t=5 + topics",0.42552708675993217,0,538.0935339630014
8,0.4929475620666536,"node2vec [dim=13, p=1.0, q=1.0, t=5",0.4284289341430987,0,522.9001470910007
9,0.4964618359606879,"node2vec [dim=13, p=1.0, q=1.0, t=5 + topics",0.428160783555002,0,536.3698814870004
10,0.5034309367633583,"node2vec [dim=13, p=1.0, q=2.0, t=5",0.43035936231092575,0,529.1691230919969
11,0.4983454151286477,"node2vec [dim=13, p=1.0, q=2.0, t=5 + topics",0.4305951859548012,0,547.4633111650037
